OtherPlace_ID,OtherPlace_Name,OtherPlace_Type,OtherPlace_City,OtherPlace_Region
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/130756,Ponte-acquedotto di Pont d'Ael,Area Archeologica,http://dati.beniculturali.it/mibact/luoghi/resource/City/Aymavilles,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Valle_d_Aosta_Vallee_d_Aoste
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/104438,San Pietro,Chiesa o edificio di culto,http://dati.beniculturali.it/mibact/luoghi/resource/City/Citta_della_Pieve,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Umbria
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/110795,Chiesa di Santa Maria Assunta a Bominaco,Chiesa o edificio di culto,http://dati.beniculturali.it/mibact/luoghi/resource/City/Caporciano,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Abruzzo
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/104468,Giassara del Grietz,Altro,http://dati.beniculturali.it/mibact/luoghi/resource/City/Bosco_Chiesanuova,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Veneto
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/107211,Complesso conventuale di San Francesco di Paola,Villa o Palazzo di interesse storico o artistico,http://dati.beniculturali.it/mibact/luoghi/resource/City/La_Spezia,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Liguria
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/108122,Teatro Caio Melisso,Architettura Civile,http://dati.beniculturali.it/mibact/luoghi/resource/City/Spoleto,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Umbria
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/20574,Area archeologica del Sodo e Tomba di Camucia,Area Archeologica,http://dati.beniculturali.it/mibact/luoghi/resource/City/Cortona,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Toscana
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/104347,Chiesa di San Giovanni Battista,Chiesa o edificio di culto,http://dati.beniculturali.it/mibact/luoghi/resource/City/Scanno,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Abruzzo
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/105756,Castello di Colloredo di Monte Albano,Architettura Fortificata,http://dati.beniculturali.it/mibact/luoghi/resource/City/Colloredo_di_Monte_Albano,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Friuli-Venezia_Giulia
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/103462,"Museo diocesano - Sacristia ""S. Maria degli Angeli""",Chiesa o edificio di culto,http://dati.beniculturali.it/mibact/luoghi/resource/City/Perfugas,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Sardegna
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/102955,Villa medicea di Careggi,Villa o Palazzo di interesse storico o artistico,http://dati.beniculturali.it/mibact/luoghi/resource/City/Firenze,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Toscana
