Museum_ID,Museum_Name,Museum_City,Museum_Region,Museum_Latitude,Museum_Longitude
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/141887,Museo di paesaggi e narrazioni (SMO - Slovensko multimedialno okno),http://dati.beniculturali.it/mibact/luoghi/resource/City/San_Pietro_al_Natisone,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Friuli-Venezia_Giulia,46.12693,13.485172
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100808,Museo del tesoro della Cattedrale di Aosta,http://dati.beniculturali.it/mibact/luoghi/resource/City/Aosta,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Valle_d_Aosta_Vallee_d_Aoste,45.738888,7.426187
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/103530,Museo Casa di Arlecchino,http://dati.beniculturali.it/mibact/luoghi/resource/City/San_Giovanni_Bianco,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Lombardia,45.874866,9.653048
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100819,Museo parrocchiale di Challand-Saint-Victor,http://dati.beniculturali.it/mibact/luoghi/resource/City/Challand-Saint-Victor,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Valle_d_Aosta_Vallee_d_Aoste,45.738888,7.426187
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/105030,Museo diocesano d’arte sacra di Ales,http://dati.beniculturali.it/mibact/luoghi/resource/City/Ales,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Sardegna,39.76897,8.81572
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/130754,Parco Archeologico e Museo dell'Area Megalitica di Saint Martin de Corléans,http://dati.beniculturali.it/mibact/luoghi/resource/City/Aosta,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Valle_d_Aosta_Vallee_d_Aoste,45.735077,7.2983
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/104067,Museo delle armi antiche e della Rocca medievale,http://dati.beniculturali.it/mibact/luoghi/resource/City/Offagna,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Marche,43.527874,13.441587
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/101946,Museo di San Domenico di Bologna,http://dati.beniculturali.it/mibact/luoghi/resource/City/Bologna,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Emilia-Romagna,44.489765,11.343967
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100847,Museo parrocchiale di Saint-Vincent (Italia),http://dati.beniculturali.it/mibact/luoghi/resource/City/Saint-Vincent,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Valle_d_Aosta_Vallee_d_Aoste,45.738888,7.426187
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/101557,Museo delle mura di Roma,http://dati.beniculturali.it/mibact/luoghi/resource/City/Roma,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Lazio,41.873665,12.501464
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/103708,Museo della Basilica di Sant'Eustorgio,http://dati.beniculturali.it/mibact/luoghi/resource/City/Milano,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Lombardia,45.453697,9.181042
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/111210,Museo parrocchiale d’arte sacra,http://dati.beniculturali.it/mibact/luoghi/resource/City/Bagnara_di_Romagna,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Emilia-Romagna,44.388554,11.826221
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/103623,Villa Carlotta - Museo e giardino botanico,http://dati.beniculturali.it/mibact/luoghi/resource/City/Tremezzo,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Lombardia,45.986187,9.230543
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/106432,Museo di Palazzo d’Arco,http://dati.beniculturali.it/mibact/luoghi/resource/City/Mantova,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Lombardia,45.16078,10.789119
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/111580,Museo regionale e Area archeologica della Villa romana del Casale,http://dati.beniculturali.it/mibact/luoghi/resource/City/Piazza_Armerina,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Sicilia,37.38577,14.370671
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/20246,Museo nazionale di Castel Sant'Angelo,http://dati.beniculturali.it/mibact/luoghi/resource/City/Roma,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Lazio,41.903065,12.466276
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/103702,Museo bagatti Valsecchi,http://dati.beniculturali.it/mibact/luoghi/resource/City/Milano,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Lombardia,45.469246,9.194753
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100218,Museo Abbazia benedettina di Santa Maria in Sylvis,http://dati.beniculturali.it/mibact/luoghi/resource/City/Sesto_al_Reghena,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Friuli-Venezia_Giulia,45.848164,12.816098
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100065,Museo civico Porta della terra e Parco archeologico del Quadrilatero,http://dati.beniculturali.it/mibact/luoghi/resource/City/San_Salvo,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Abruzzo,42.05058,14.731499
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/104289,Museo di rievocazione storica della Rocca Roveresca,http://dati.beniculturali.it/mibact/luoghi/resource/City/Mondavio,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Marche,43.674274,12.968471
