Museum_ID,Museum_Name,Museum_City,Museum_Region,Museum_Latitude,Museum_Longitude,Ticket_Cost
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/107062,Museo etnomusicale “Celestino Coscia e Antonio Bocchino”,http://dati.beniculturali.it/mibact/luoghi/resource/City/Montemarano,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Campania,40.91626,14.998611,Free Entry
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/102115,Museo civico archeologico etnologico di Modena,http://dati.beniculturali.it/mibact/luoghi/resource/City/Modena,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Emilia-Romagna,44.648247,10.921038,Free Entry
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/111207,Castello della musica - Museo del disco e Museo della liuteria,http://dati.beniculturali.it/mibact/luoghi/resource/City/Noceto,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Emilia-Romagna,44.81007,10.17749,Free Entry
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100465,Palazzo Perrando,http://dati.beniculturali.it/mibact/luoghi/resource/City/Sassello,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Liguria,44.478374,8.491687,Free Entry
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/103656,Musei civici di Palazzo Belgioioso,http://dati.beniculturali.it/mibact/luoghi/resource/City/Lecco,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Lombardia,45.859596,9.397658,Free Entry
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/106436,Museo civico archeologico di Pegognaga,http://dati.beniculturali.it/mibact/luoghi/resource/City/Pegognaga,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Lombardia,44.99627,10.860338,Free Entry
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/107073,Museo Parco della Memoria Storica di San Pietro Infine - Centro visite,http://dati.beniculturali.it/mibact/luoghi/resource/City/San_Pietro_Infine,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Campania,41.447056,13.962519,Free Entry
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100193,"Museo del minatore ""Arduino Martinuzzo""",http://dati.beniculturali.it/mibact/luoghi/resource/City/Caneva,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Friuli-Venezia_Giulia,45.95081,12.449787,Free Entry
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/103848,Pinacoteca d'arte moderna,http://dati.beniculturali.it/mibact/luoghi/resource/City/Avezzano,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Abruzzo,42.027836,13.425338,Free Entry
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/103830,Museo civico di scienze naturali Mario Realini,http://dati.beniculturali.it/mibact/luoghi/resource/City/Malnate,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Lombardia,45.795982,8.884065,Free Entry
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/104295,MUSS - Museo naturalistico Ente parco Sasso Simone e Simoncello,http://dati.beniculturali.it/mibact/luoghi/resource/City/Pennabilli,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Emilia-Romagna,43.81843,12.270249,Free Entry
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/104200,Museo d’arti e Mestieri Antichi,http://dati.beniculturali.it/mibact/luoghi/resource/City/Montelupone,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Marche,43.34308,13.569946,Free Entry
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/104062,Museo storico aeronautico,http://dati.beniculturali.it/mibact/luoghi/resource/City/Loreto,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Marche,43.44042,13.607742,Free Entry
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/107949,Museo civico di storia naturale del Delta del Po,http://dati.beniculturali.it/mibact/luoghi/resource/City/Ostellato,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Emilia-Romagna,44.745644,11.940563,Free Entry
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/104044,Raccolta di opere d’arte Antica Farmacia Giuli,http://dati.beniculturali.it/mibact/luoghi/resource/City/Cerreto_d_Esi,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Marche,43.320923,12.984662,Free Entry
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/110923,Museo civico della civiltà contadina di Pratola Peligna,http://dati.beniculturali.it/mibact/luoghi/resource/City/Pratola_Peligna,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Abruzzo,42.350735,13.42619,Free Entry
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100268,Museo della civiltà del vino,http://dati.beniculturali.it/mibact/luoghi/resource/City/Buttrio,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Friuli-Venezia_Giulia,46.012875,13.338651,Free Entry
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/106863,Orto botanico didattico e sperimentale di Cascina Rosa,http://dati.beniculturali.it/mibact/luoghi/resource/City/Milano,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Lombardia,45.47359,9.236413,Free Entry
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/103108,"Musei civici di Villa Paolina - Museo archeologico Alberto Carlo Blanc, Museo degli strumenti musicali Giovanni Ciuffreda e Atelier Alfredo Catarsini",http://dati.beniculturali.it/mibact/luoghi/resource/City/Viareggio,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Toscana,43.868187,10.246131,Free Entry
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/101834,Museo sansossiano di arte sacra,http://dati.beniculturali.it/mibact/luoghi/resource/City/Frattamaggiore,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Campania,40.94146,14.271945,Free Entry
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100421,Museo etnografico del castello di Bestagno,http://dati.beniculturali.it/mibact/luoghi/resource/City/Pontedassio,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Liguria,43.934498,8.000721,Free Entry
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/103902,Cripta museo  di Trevico,http://dati.beniculturali.it/mibact/luoghi/resource/City/Trevico,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Campania,41.04871,15.233764,Free Entry
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/101987,Ecomuseo della collina e del vino,http://dati.beniculturali.it/mibact/luoghi/resource/City/Castello_di_Serravalle,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Emilia-Romagna,44.437866,11.031391,Free Entry
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/101432,Museo del brigantaggio di Itri,http://dati.beniculturali.it/mibact/luoghi/resource/City/Itri,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Lazio,41.289883,13.523467,Free Entry
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/107816,Musei Civici - Galleria Parmeggiani,http://dati.beniculturali.it/mibact/luoghi/resource/City/Reggio_nell_Emilia,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Emilia-Romagna,44.7007,10.628447,Free Entry
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/107103,Museo Centro per la conoscenza della biodiversità del Parco regionale dei Monti Lattari,http://dati.beniculturali.it/mibact/luoghi/resource/City/Castellammare_di_Stabia,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Campania,40.69474,14.48726,Free Entry
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100234,Civico museo del Risorgimento e sacrario Guglielmo Oberdan,http://dati.beniculturali.it/mibact/luoghi/resource/City/Trieste,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Friuli-Venezia_Giulia,45.65492,13.776531,Free Entry
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/102103,Gemma 1786. Museo mineralogico e geologico estense,http://dati.beniculturali.it/mibact/luoghi/resource/City/Modena,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Emilia-Romagna,44.646885,10.924134,Free Entry
