Museum_City,Ticket_Cost,Count
http://dati.beniculturali.it/mibact/luoghi/resource/City/Bobbio,2.50,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Bobbio,3.00,2
http://dati.beniculturali.it/mibact/luoghi/resource/City/Bologna,10.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Bologna,17.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Bologna,5.00,6
http://dati.beniculturali.it/mibact/luoghi/resource/City/Bologna,6.00,3
http://dati.beniculturali.it/mibact/luoghi/resource/City/Bologna,7.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Bologna,8.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Bolsena,5.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Bolzano_Bozen,10.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Bolzano_Bozen,13.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Bolzano_Bozen,4.00,2
http://dati.beniculturali.it/mibact/luoghi/resource/City/Bolzano_Bozen,5.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Bolzano_Bozen,9.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Bomba,1.70,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Bordighera,1.60,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Bordighera,7.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Bordighera,8.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Borgia,5.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Borgo_Velino,2.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Bormio,3.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Bosa,4.50,2
http://dati.beniculturali.it/mibact/luoghi/resource/City/Boscoreale,8.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Bosio,1.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Bra,3.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Bracciano,3.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Breganze,1.50,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Brentonico,2.50,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Brescia,10.00,3
http://dati.beniculturali.it/mibact/luoghi/resource/City/Brescia,3.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Brescia,5.00,3
http://dati.beniculturali.it/mibact/luoghi/resource/City/Brescia,8.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Bressanone_Brixen,3.50,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Bressanone_Brixen,4.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Bressanone_Brixen,7.00,1
