Archive_ID,Archive_Name,Archive_City,Archive_Region,Archive_Latitude,Archive_Longitude,Ticket_Cost
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/108166,Archivio di Stato di Latina,http://dati.beniculturali.it/mibact/luoghi/resource/City/Latina,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Lazio,41.458515,12.929457,Free Entry
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/113120,Archivio di Stato di Trieste,http://dati.beniculturali.it/mibact/luoghi/resource/City/Trieste,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Friuli-Venezia_Giulia,45.64025,13.796879,Free Entry
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/20703,Archivio di Stato di Brescia,http://dati.beniculturali.it/mibact/luoghi/resource/City/Brescia,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Lombardia,45.547943,10.22724,Free Entry
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/20771,Archivio di Stato di Teramo,http://dati.beniculturali.it/mibact/luoghi/resource/City/Teramo,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Abruzzo,42.66049,13.702663,Free Entry
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/20702,Archivio di Stato di Brindisi,http://dati.beniculturali.it/mibact/luoghi/resource/City/Brindisi,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Puglia,40.64142,17.943987,Free Entry
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/116642,Archivio di Stato di Bergamo,http://dati.beniculturali.it/mibact/luoghi/resource/City/Bergamo,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Lombardia,45.702747,9.687128,Free Entry
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/123670,Archivio di Stato di Milano,http://dati.beniculturali.it/mibact/luoghi/resource/City/Milano,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Lombardia,45.47033,9.19893,Free Entry
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/116652,Archivio di Stato di Catania,http://dati.beniculturali.it/mibact/luoghi/resource/City/Catania,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Sicilia,37.503033,15.089244,Free Entry
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/120075,Archivio di Stato di Forlì-Cesena,http://dati.beniculturali.it/mibact/luoghi/resource/City/Forli,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Emilia-Romagna,44.22725,12.04019,Free Entry
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/20782,Archivio di Stato di Pavia,http://dati.beniculturali.it/mibact/luoghi/resource/City/Pavia,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Lombardia,45.183517,9.153047,Free Entry
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/118926,Archivio di Stato di Udine,http://dati.beniculturali.it/mibact/luoghi/resource/City/Udine,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Friuli-Venezia_Giulia,46.06828,13.223159,Free Entry
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/116635,Archivio di Stato di Ascoli Piceno,http://dati.beniculturali.it/mibact/luoghi/resource/City/Ascoli_Piceno,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Marche,42.85747,13.566855,Free Entry
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/110858,Archivio di Stato di Vercelli. Sezione di Varallo,http://dati.beniculturali.it/mibact/luoghi/resource/City/Varallo,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Piemonte,45.815533,8.248424,Free Entry
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/117164,Archivio di Stato di Modena,http://dati.beniculturali.it/mibact/luoghi/resource/City/Modena,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Emilia-Romagna,44.65001,10.927906,Free Entry
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/20687,Archivio di Stato di Pesaro-Urbino. Sezione di Fano,http://dati.beniculturali.it/mibact/luoghi/resource/City/Fano,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Marche,43.844112,13.020979,Free Entry
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/123557,Archivio di Stato di Treviso,http://dati.beniculturali.it/mibact/luoghi/resource/City/Treviso,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Veneto,45.66231,12.247523,Free Entry
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/135675,Archivio di Stato di Perugia. Sezione di Foligno,http://dati.beniculturali.it/mibact/luoghi/resource/City/Foligno,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Umbria,42.956306,12.701936,Free Entry
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/116637,Archivio di Stato di Bari,http://dati.beniculturali.it/mibact/luoghi/resource/City/Bari,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Puglia,41.12879,16.846931,Free Entry
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/121406,Archivio di Stato di Foggia,http://dati.beniculturali.it/mibact/luoghi/resource/City/Foggia,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Puglia,41.462063,15.545069,Free Entry
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/108210,Archivio di Stato di Salerno,http://dati.beniculturali.it/mibact/luoghi/resource/City/Salerno,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Campania,40.68073,14.75826,Free Entry
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/20683,Archivio di Stato di Roma,http://dati.beniculturali.it/mibact/luoghi/resource/City/Roma,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Lazio,41.89824,12.473882,Free Entry
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/126361,Archivio di Stato di Fermo,http://dati.beniculturali.it/mibact/luoghi/resource/City/Fermo,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Marche,43.16053,13.719018,Free Entry
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/116632,Archivio di Stato di Ragusa,http://dati.beniculturali.it/mibact/luoghi/resource/City/Ragusa,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Sicilia,36.922356,14.72605,Free Entry
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/20709,Archivio di Stato di Ancona. Sede distaccata,http://dati.beniculturali.it/mibact/luoghi/resource/City/Ancona,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Marche,43.59782,13.504486,Free Entry
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/20001,Archivio di Stato di Nuoro,http://dati.beniculturali.it/mibact/luoghi/resource/City/Nuoro,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Sardegna,40.31839,9.335217,Free Entry
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/108514,Archivio di Stato di Avellino,http://dati.beniculturali.it/mibact/luoghi/resource/City/Avellino,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Campania,40.914284,14.787931,Free Entry
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/150069,Archivio di Stato di Sassari,http://dati.beniculturali.it/mibact/luoghi/resource/City/Sassari,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Sardegna,40.726524,8.526445,Free Entry
