Museum_City,Ticket_Cost,Count
http://dati.beniculturali.it/mibact/luoghi/resource/City/Calanna,Free Entry,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Calcata,Free Entry,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Caldarola,Free Entry,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Calice_Ligure,Free Entry,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Calitri,Free Entry,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Caltagirone,Free Entry,4
http://dati.beniculturali.it/mibact/luoghi/resource/City/Caltanissetta,Free Entry,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Calvisano,Free Entry,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Camerata_Cornello,Free Entry,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Camerino,Free Entry,2
http://dati.beniculturali.it/mibact/luoghi/resource/City/Caminata,Free Entry,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Camogli,Free Entry,3
http://dati.beniculturali.it/mibact/luoghi/resource/City/Campagna,Free Entry,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Campagnano_di_Roma,Free Entry,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Campagnola_Emilia,Free Entry,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Campi_Bisenzio,Free Entry,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Campobasso,Free Entry,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Campomorone,Free Entry,4
http://dati.beniculturali.it/mibact/luoghi/resource/City/Canelli,Free Entry,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Canepina,Free Entry,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Caneva,Free Entry,2
http://dati.beniculturali.it/mibact/luoghi/resource/City/Canosa_Sannita,Free Entry,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Canosa_di_Puglia,Free Entry,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Cantiano,Free Entry,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Capo_di_Ponte,Free Entry,2
http://dati.beniculturali.it/mibact/luoghi/resource/City/Capovalle,Free Entry,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Capua,Free Entry,2
http://dati.beniculturali.it/mibact/luoghi/resource/City/Carassai,Free Entry,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Caravaggio,Free Entry,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Carcare,Free Entry,2
http://dati.beniculturali.it/mibact/luoghi/resource/City/Carinola,Free Entry,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Carmagnola,Free Entry,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Carmignano,Free Entry,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Carpasio,Free Entry,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Carpenedolo,Free Entry,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Carro,Free Entry,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Casacalenda,Free Entry,2
http://dati.beniculturali.it/mibact/luoghi/resource/City/Casalmaggiore,Free Entry,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Casalvieri,Free Entry,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Casarza_Ligure,Free Entry,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Casazza,Free Entry,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Casola_Valsenio,Free Entry,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Cassacco,Free Entry,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Castagneto_Carducci,Free Entry,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Castel_Bolognese,Free Entry,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Castel_Morrone,Free Entry,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Castel_San_Giovanni,Free Entry,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Castel_San_Lorenzo,Free Entry,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Castel_del_Monte,Free Entry,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Castel_del_Rio,Free Entry,2
http://dati.beniculturali.it/mibact/luoghi/resource/City/Casteldelci,Free Entry,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Castelfidardo,Free Entry,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Castellabate,Free Entry,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Castellammare_di_Stabia,Free Entry,2
http://dati.beniculturali.it/mibact/luoghi/resource/City/Castellanza,Free Entry,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Castelleone,Free Entry,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Castello_di_Serravalle,Free Entry,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Castellucchio,Free Entry,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Castelmagno,Free Entry,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Castelnovo_di_Sotto,Free Entry,2
http://dati.beniculturali.it/mibact/luoghi/resource/City/Castelnuovo_Scrivia,Free Entry,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Castelvenere,Free Entry,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Castiglion_Fiorentino,Free Entry,2
http://dati.beniculturali.it/mibact/luoghi/resource/City/Castiglione_Chiavarese,Free Entry,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Castro_dei_Volsci,Free Entry,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Castrocaro_Terme_e_Terra_del_Sole,Free Entry,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Castrocielo,Free Entry,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Catania,Free Entry,3
http://dati.beniculturali.it/mibact/luoghi/resource/City/Catanzaro,Free Entry,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Cattolica,Free Entry,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Cava_de__Tirreni,Free Entry,2
http://dati.beniculturali.it/mibact/luoghi/resource/City/Cavargna,Free Entry,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Cavasso_Nuovo,Free Entry,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Cazzago_San_Martino,Free Entry,1
