Archive_ID,Archive_Name,Archive_City,Archive_Region,Ticket_Cost
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/106566,Archivio di Stato di Novara,http://dati.beniculturali.it/mibact/luoghi/resource/City/Novara,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Piemonte,Free Entry
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/126358,Archivio di Stato di Cuneo,http://dati.beniculturali.it/mibact/luoghi/resource/City/Cuneo,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Piemonte,Free Entry
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/116633,Archivio di Stato di Ragusa. Sezione di Modica,http://dati.beniculturali.it/mibact/luoghi/resource/City/Modica,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Sicilia,Free Entry
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/111772,Archivio di Stato di Ferrara,http://dati.beniculturali.it/mibact/luoghi/resource/City/Ferrara,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Emilia-Romagna,Free Entry
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/7036,Archivio di Stato di Lucca - Sede distaccata,http://dati.beniculturali.it/mibact/luoghi/resource/City/Lucca,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Toscana,Free Entry
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/150148,Archivio di Stato di Pordenone,http://dati.beniculturali.it/mibact/luoghi/resource/City/Pordenone,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Friuli-Venezia_Giulia,Free Entry
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/126365,Archivio di Stato di Mantova,http://dati.beniculturali.it/mibact/luoghi/resource/City/Mantova,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Lombardia,Free Entry
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/20697,Archivio di Stato di Grosseto,http://dati.beniculturali.it/mibact/luoghi/resource/City/Grosseto,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Toscana,Free Entry
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/116649,Archivio di Stato di Bolzano,http://dati.beniculturali.it/mibact/luoghi/resource/City/Bolzano_Bozen,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Trentino-Alto_Adige,Free Entry
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/20699,Archivio di Stato di Genova,http://dati.beniculturali.it/mibact/luoghi/resource/City/Genova,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Liguria,Free Entry
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/143832,Archivio di Stato di Ravenna,http://dati.beniculturali.it/mibact/luoghi/resource/City/Ravenna,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Emilia-Romagna,Free Entry
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/110914,Archivio di Stato di Rovigo,http://dati.beniculturali.it/mibact/luoghi/resource/City/Rovigo,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Veneto,Free Entry
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/116636,Archivio di Stato di Asti,http://dati.beniculturali.it/mibact/luoghi/resource/City/Asti,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Piemonte,Free Entry
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/128686,Archivio di Stato di Parma,http://dati.beniculturali.it/mibact/luoghi/resource/City/Parma,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Emilia-Romagna,Free Entry
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/126364,Archivio di Stato di La Spezia,http://dati.beniculturali.it/mibact/luoghi/resource/City/La_Spezia,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Liguria,Free Entry
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/126367,Archivio di Stato di Potenza,http://dati.beniculturali.it/mibact/luoghi/resource/City/Potenza,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Basilicata,Free Entry
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/136272,Archivio di Stato dell'Aquila. Sezione di Avezzano,http://dati.beniculturali.it/mibact/luoghi/resource/City/Avezzano,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Abruzzo,Free Entry
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/20684,Archivio di Stato di Prato,http://dati.beniculturali.it/mibact/luoghi/resource/City/Prato,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Toscana,Free Entry
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/122173,Archivio di Stato di Siracusa,http://dati.beniculturali.it/mibact/luoghi/resource/City/Siracusa,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Sicilia,Free Entry
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/116719,Archivio di Stato di Cremona,http://dati.beniculturali.it/mibact/luoghi/resource/City/Cremona,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Lombardia,Free Entry
